bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
Critical Defense,5.0,Remington 700,638.84,5.97,8.19,Ceramic,100.0,6
Hydra-Shok,8.16,Walther PPQ,300.0,11.16,10.46,Metal,8.0,33
BTHP,9.01,Glock 17,746.72,9.24,9.47,Concrete,3.0,21
Critical Duty,5.0,Desert Eagle,494.68,2.0,10.57,Kevlar,10.0,19
Hydra-Shok,7.63,Smith & Wesson M&P,709.16,16.03,9.47,Water,3.0,46
TMJ,6.09,Kel-Tec KSG,748.17,12.78,6.0,Wood,3.0,45
Ranger T-Series,11.57,HK416,342.88,2.37,11.1,Rubber,47.0,37
ELD-M,5.0,Glock 17,503.67,9.6,10.9,Ceramic,100.0,11
HST,14.67,HK416,454.39,13.9,7.53,Glass,100.0,33
PowerBond,11.07,Springfield XD,486.91,9.64,11.99,Brick,12.0,20
PolyCase ARX,5.84,Benelli M4,386.08,6.34,11.99,Brick,5.0,33
Extreme Point,12.08,AK-47,722.83,7.51,12.4,Brick,4.0,51
ELD-M,10.79,Remington 870,462.79,7.0,6.9,Wood,10.0,72
Golden Saber,8.88,Walther PPQ,433.17,7.43,11.69,Metal,18.0,30
Hydra-Shok,6.84,AK-47,724.71,12.5,8.31,Wood,27.0,60
PolyCase ARX,10.64,AK-47,667.23,9.89,7.56,Glass,15.0,111
ELD-M,9.37,HK USP,557.51,4.55,8.97,Wood,37.0,71
BTHP,6.93,Kel-Tec KSG,421.52,6.91,9.54,Brick,50.0,23
Gold Dot,5.0,Dragunov SVD,792.92,6.41,8.97,Kevlar,43.0,14
Ranger T-Series,6.45,HK USP,300.0,9.16,12.37,Brick,9.0,21
AMAX,7.49,Winchester Model 70,714.48,3.53,7.93,Ceramic,60.0,16
V-Crown,12.49,Barrett M82,625.29,2.0,11.94,Wood,51.0,47
PowerBond,11.58,Ruger SR9,300.0,4.29,9.14,Wood,11.0,49
V-Crown,7.65,Remington 700,514.78,2.0,10.19,Concrete,11.0,16
Black Talon,7.77,Sig Sauer P320,300.0,2.0,9.44,Concrete,2.0,21
ELD-M,11.97,Kel-Tec KSG,430.42,12.9,8.38,Water,55.0,51
SP,9.8,CZ 75,556.03,7.49,8.34,Brick,2.0,34
V-Crown,9.76,Smith & Wesson M&P,300.0,9.49,7.38,Rubber,14.0,56
TMJ,6.89,FN Five-seveN,300.0,8.24,7.2,Rubber,26.0,28
ELD-M,8.63,Smith & Wesson M&P,474.45,8.47,9.65,Sand,42.0,36
HST,9.01,Springfield XD,542.91,9.19,12.75,Water,17.0,57
Golden Saber,8.73,Colt 1911,424.6,10.35,7.76,Glass,23.0,66
AccuBond,11.2,Remington 700,496.92,9.48,10.35,Concrete,25.0,28
SP,11.3,SCAR-L,464.08,19.15,9.7,Water,1.0,69
Critical Defense,6.24,Sig Sauer P320,300.0,3.9,12.58,Kevlar,57.0,15
Critical Duty,7.5,CZ 75,889.42,3.76,10.95,Kevlar,9.0,7
JHP,6.94,FN Five-seveN,563.4,5.81,8.7,Water,4.0,61
SP,13.17,M16,414.83,2.71,7.62,Water,13.0,68
BT,15.0,Barrett M82,335.04,6.85,6.15,Ceramic,26.0,9
EFMJ,7.61,HK416,420.49,4.17,8.48,Sand,35.0,29
AMAX,8.5,Remington 700,427.01,8.33,14.0,Concrete,25.0,24
PowerBond,11.53,Colt 1911,507.63,8.29,8.83,Brick,10.0,49
PowerBond,6.88,M4 Carbine,729.24,2.78,6.23,Wood,23.0,62
Critical Defense,11.59,Kel-Tec KSG,339.09,11.07,6.7,Brick,11.0,33
ELD-M,8.94,AK-47,535.54,4.79,13.17,Metal,87.0,11
Hydra-Shok,5.0,Springfield XD,659.93,4.25,9.11,Wood,100.0,23
AccuBond,5.1,Colt 1911,365.23,9.76,10.81,Concrete,6.0,34
HST,7.99,Springfield XD,364.08,8.0,10.62,Sand,13.0,51
AP,12.67,HK416,300.0,8.01,8.74,Ceramic,17.0,24
Extreme Point,6.32,Kel-Tec KSG,836.24,4.03,9.05,Ceramic,20.0,22
Partition,7.4,Desert Eagle,601.59,3.55,8.12,Ceramic,11.0,24
Critical Duty,9.63,Springfield XD,385.92,11.19,6.35,Wood,15.0,64
V-Crown,5.0,Kel-Tec KSG,377.26,7.71,12.05,Wood,16.0,56
FMJ,9.9,M16,300.0,8.92,11.6,Glass,10.0,60
Ranger T-Series,5.0,Winchester Model 70,531.42,8.61,9.96,Kevlar,8.0,25
Critical Duty,10.7,Beretta 92FS,431.57,10.71,10.15,Metal,20.0,38
TMJ,6.57,Desert Eagle,316.52,7.77,11.97,Wood,12.0,41
Critical Defense,6.17,AR-15,345.65,7.07,6.0,Sand,72.0,15
JHP,9.82,Colt 1911,645.14,10.87,11.04,Wood,9.0,78
PowerBond,11.38,Colt 1911,423.71,16.94,12.06,Concrete,4.0,46
SP,10.13,HK USP,300.0,3.03,13.78,Sand,11.0,46
TMJ,9.62,Remington 870,512.94,5.81,11.85,Brick,21.0,18
JHP,9.67,Smith & Wesson M&P,362.75,9.17,13.19,Metal,12.0,23
PowerBond,10.15,Remington 870,629.21,2.0,9.56,Brick,7.0,19
Critical Duty,10.34,HK416,801.39,12.44,10.03,Glass,14.0,94
Critical Duty,7.82,AK-47,300.0,11.18,8.39,Concrete,12.0,33
V-Crown,10.96,Winchester Model 70,358.61,8.12,8.78,Metal,58.0,32
SP,6.61,HK416,527.7,9.87,11.89,Metal,1.0,38
ELD-M,12.27,Remington 700,484.71,14.03,10.87,Ceramic,10.0,19
Golden Saber,11.35,Mossberg 500,750.37,9.16,11.06,Brick,8.0,36
Black Talon,15.0,Glock 17,496.14,2.94,6.93,Kevlar,5.0,17
HST,10.54,Barrett M82,540.87,11.84,11.0,Kevlar,16.0,24
PolyCase ARX,11.73,HK416,586.17,11.71,12.74,Sand,19.0,52
Critical Defense,5.0,Dragunov SVD,363.83,8.83,10.9,Rubber,1.0,45
Partition,11.83,Benelli M4,603.04,18.46,8.08,Sand,23.0,64
Ranger T-Series,12.53,Sig Sauer P320,581.12,7.58,9.93,Wood,10.0,76
AccuBond,13.51,AR-15,520.64,2.0,12.85,Metal,51.0,32
Critical Defense,9.36,Springfield XD,300.0,9.04,10.63,Kevlar,27.0,11
Hydra-Shok,7.97,M16,347.8,8.59,12.54,Brick,14.0,44
Partition,5.73,HK USP,537.14,16.91,13.84,Rubber,61.0,44
TMJ,6.01,Winchester Model 70,480.98,9.43,9.64,Water,23.0,42
Partition,8.92,Dragunov SVD,649.8,7.03,7.88,Rubber,33.0,47
ELD-M,5.0,Beretta 92FS,651.39,2.98,9.01,Sand,63.0,26
Black Talon,6.7,Colt 1911,568.92,15.23,13.87,Glass,44.0,69
BT,9.27,AK-47,651.43,2.0,11.69,Kevlar,1.0,31
FMJ,9.2,AK-47,600.02,9.88,10.5,Ceramic,5.0,21
HST,6.09,Mossberg 500,394.74,2.0,12.17,Brick,20.0,26
SP,5.3,Dragunov SVD,498.83,6.83,9.12,Rubber,4.0,49
Critical Duty,5.75,Benelli M4,300.0,6.58,9.37,Rubber,13.0,58
Golden Saber,8.34,Mossberg 500,798.68,5.25,8.61,Concrete,13.0,24
AccuBond,15.0,HK416,300.0,6.52,14.0,Wood,12.0,59
V-Crown,12.18,HK USP,300.0,8.56,10.39,Water,35.0,40
AP,9.64,Walther PPQ,924.13,6.16,9.81,Brick,13.0,36
V-Crown,10.66,Remington 700,481.43,7.53,10.45,Wood,41.0,60
BT,12.05,M4 Carbine,678.95,5.22,9.83,Wood,30.0,52
Partition,11.03,FN Five-seveN,646.59,7.03,8.3,Sand,21.0,36
Ranger T-Series,8.08,Glock 17,709.08,11.89,12.17,Brick,17.0,28
FMJ,6.46,Ruger SR9,618.23,6.15,6.64,Brick,5.0,28
PolyCase ARX,8.62,Beretta 92FS,619.48,14.25,10.43,Glass,29.0,72
Golden Saber,12.01,Remington 700,300.0,11.89,11.28,Sand,33.0,31
Hydra-Shok,8.19,AR-15,307.28,11.29,6.96,Brick,13.0,41
BTHP,5.69,Sig Sauer P320,300.0,8.03,10.93,Brick,5.0,21
Hydra-Shok,5.0,Mossberg 500,336.02,4.2,9.11,Wood,29.0,47
HST,8.64,Remington 870,393.39,8.4,6.73,Rubber,32.0,32
Partition,5.92,Desert Eagle,476.68,15.04,10.38,Kevlar,17.0,30
AccuBond,7.69,Mossberg 500,310.45,4.7,11.86,Concrete,24.0,30
AP,13.37,FN Five-seveN,429.51,9.18,14.0,Kevlar,30.0,20
Critical Defense,8.84,Walther PPQ,396.42,4.37,9.22,Wood,7.0,72
BT,6.75,M16,569.08,6.39,10.99,Brick,7.0,27
BT,9.93,HK USP,651.83,9.2,11.86,Rubber,25.0,32
EFMJ,14.76,Beretta 92FS,542.84,9.46,10.28,Metal,14.0,49
V-MAX,8.64,Glock 17,626.06,8.47,11.46,Sand,14.0,39
ELD-M,5.0,Sig Sauer P320,538.17,10.43,9.15,Kevlar,64.0,11
AccuBond,10.95,Benelli M4,737.4,9.82,9.64,Kevlar,32.0,42
Golden Saber,10.04,Mossberg 500,872.83,6.69,7.49,Glass,6.0,84
AccuBond,9.27,SCAR-L,300.0,10.89,9.25,Brick,10.0,38
EFMJ,8.34,AR-15,726.64,4.13,6.7,Metal,35.0,39
Critical Duty,6.58,HK416,300.0,6.97,6.89,Water,2.0,59
JHP,13.54,Beretta 92FS,537.16,6.14,11.77,Sand,8.0,37
Partition,5.0,Remington 700,552.27,9.49,7.41,Glass,8.0,89
ELD-M,8.07,Dragunov SVD,621.69,2.0,11.87,Water,10.0,53
Black Talon,8.0,Desert Eagle,489.81,6.4,9.68,Ceramic,6.0,30
AP,11.56,FN Five-seveN,499.02,9.83,9.69,Sand,21.0,36
AMAX,12.71,Ruger SR9,568.68,17.88,8.52,Brick,10.0,56
Black Talon,8.32,Desert Eagle,430.77,8.2,9.94,Concrete,16.0,23
Extreme Point,9.58,FN Five-seveN,300.0,3.67,13.08,Glass,6.0,82
PolyCase ARX,9.83,CZ 75,499.65,10.7,8.55,Rubber,40.0,32
Gold Dot,12.16,Dragunov SVD,350.23,5.28,9.31,Wood,5.0,52
Critical Duty,12.1,Remington 870,333.14,2.57,11.58,Glass,42.0,59
Golden Saber,7.38,HK USP,313.69,8.73,7.69,Rubber,4.0,54
TMJ,10.31,Beretta 92FS,300.0,13.29,7.5,Rubber,9.0,47
EFMJ,10.15,Desert Eagle,420.07,4.79,9.9,Sand,30.0,26
JHP,8.65,Desert Eagle,500.16,7.15,12.4,Brick,14.0,42
Partition,10.12,Remington 700,653.6,10.77,9.83,Sand,5.0,43
BTHP,9.06,Desert Eagle,381.85,12.09,9.45,Rubber,22.0,40
HST,9.47,Beretta 92FS,815.5,13.7,9.93,Glass,3.0,106
SP,5.0,Remington 700,616.75,5.21,9.82,Glass,5.0,61
AccuBond,6.25,M4 Carbine,300.0,7.5,8.71,Kevlar,6.0,-1
V-MAX,11.45,Dragunov SVD,402.34,2.0,11.86,Sand,18.0,48
BT,5.37,AR-15,904.31,6.42,10.45,Wood,16.0,61
BT,10.41,Winchester Model 70,651.99,3.81,8.98,Wood,15.0,51
Extreme Point,8.76,Remington 870,394.62,8.56,10.13,Sand,2.0,36
Hydra-Shok,12.09,Glock 17,678.53,11.54,9.35,Rubber,30.0,50
PowerBond,10.95,AK-47,300.0,10.76,7.16,Concrete,3.0,25
HST,7.64,Dragunov SVD,389.46,3.36,14.0,Wood,56.0,34
BTHP,8.33,Beretta 92FS,300.0,6.41,10.26,Ceramic,1.0,28
SP,5.0,Dragunov SVD,620.74,9.84,8.0,Sand,42.0,22
Black Talon,8.61,AR-15,300.0,8.5,7.71,Ceramic,7.0,28
HST,5.19,Glock 17,483.88,5.19,7.03,Kevlar,24.0,16
TMJ,8.34,M16,300.0,9.5,8.53,Wood,8.0,52
SP,7.09,SCAR-L,540.08,11.06,7.63,Sand,25.0,38
V-Crown,6.37,Desert Eagle,485.17,7.24,9.56,Sand,13.0,45
V-Crown,12.56,Dragunov SVD,300.0,4.04,13.28,Wood,15.0,70
HST,5.17,FN Five-seveN,404.53,9.51,8.6,Concrete,25.0,21
AccuBond,6.11,CZ 75,526.64,4.55,14.0,Wood,3.0,67
SP,6.91,Desert Eagle,589.04,13.29,11.31,Brick,6.0,26
SP,7.56,Desert Eagle,816.66,2.0,14.0,Concrete,37.0,15
V-MAX,6.37,Walther PPQ,743.57,6.7,7.41,Rubber,31.0,37
Critical Duty,7.92,Colt 1911,360.99,4.44,8.6,Water,93.0,26
AccuBond,9.91,CZ 75,358.55,10.85,8.71,Glass,1.0,82
Hydra-Shok,11.01,Barrett M82,300.0,13.73,9.85,Glass,3.0,87
Partition,10.86,CZ 75,300.0,5.38,11.36,Brick,8.0,30
BTHP,5.0,Colt 1911,672.03,4.25,6.95,Kevlar,24.0,4
AP,10.14,Springfield XD,300.0,10.58,11.74,Ceramic,8.0,19
Golden Saber,10.33,Kel-Tec KSG,469.01,2.0,8.6,Glass,8.0,79
BT,7.01,HK416,439.69,8.99,13.65,Ceramic,5.0,14
JHP,14.0,Winchester Model 70,348.43,7.86,10.71,Brick,48.0,39
EFMJ,12.26,Kel-Tec KSG,300.0,7.12,12.51,Rubber,16.0,50
BTHP,8.45,Sig Sauer P320,300.0,4.64,9.09,Ceramic,3.0,29
AccuBond,7.21,Desert Eagle,300.0,2.0,11.1,Ceramic,17.0,9
SP,13.95,Smith & Wesson M&P,483.38,11.9,9.06,Metal,3.0,35
BTHP,8.94,Winchester Model 70,619.53,10.52,11.22,Concrete,6.0,22
SP,9.26,M4 Carbine,822.39,7.77,10.48,Wood,24.0,69
Partition,9.22,FN Five-seveN,566.9,8.92,13.07,Brick,28.0,44
JHP,15.0,Barrett M82,618.56,7.4,11.88,Kevlar,11.0,8
Critical Defense,8.35,M4 Carbine,821.64,11.93,10.95,Brick,4.0,45
TMJ,8.93,Remington 700,567.67,7.21,10.38,Glass,5.0,62
BTHP,6.51,M4 Carbine,696.62,7.87,10.15,Glass,16.0,92
Hydra-Shok,7.83,SCAR-L,424.08,8.59,7.02,Concrete,18.0,28
AMAX,5.91,M16,644.25,6.46,7.74,Sand,41.0,41
Partition,6.57,Remington 870,542.0,7.63,8.19,Ceramic,6.0,22
BT,5.0,SCAR-L,451.63,7.47,13.32,Brick,19.0,26
EFMJ,11.64,AR-15,809.44,5.26,8.93,Water,1.0,60
JHP,9.47,Remington 870,300.0,4.19,9.1,Kevlar,13.0,33
AccuBond,9.72,M4 Carbine,328.02,7.21,11.22,Ceramic,10.0,27
Hydra-Shok,8.84,Smith & Wesson M&P,735.52,6.79,8.16,Glass,3.0,104
V-MAX,9.22,FN Five-seveN,694.23,12.23,12.82,Rubber,44.0,50
AMAX,13.86,M4 Carbine,502.54,4.15,6.0,Sand,2.0,67
BT,6.69,Barrett M82,567.94,5.77,12.47,Sand,6.0,33
Ranger T-Series,9.84,Glock 17,603.48,8.74,13.71,Rubber,26.0,53
V-Crown,9.82,Walther PPQ,573.0,9.59,10.69,Glass,4.0,74
V-MAX,12.43,Walther PPQ,548.23,7.44,8.61,Kevlar,2.0,10
BT,10.32,Beretta 92FS,331.91,11.27,11.9,Brick,70.0,9
Ranger T-Series,10.47,Dragunov SVD,747.65,7.58,8.51,Sand,7.0,40
Critical Duty,5.23,Remington 700,459.19,4.53,14.0,Sand,1.0,44
BT,6.57,Remington 870,301.88,7.84,11.13,Glass,3.0,63
Critical Duty,5.5,Smith & Wesson M&P,526.82,10.98,8.17,Kevlar,5.0,34
HST,5.0,Sig Sauer P320,568.64,11.89,11.66,Wood,64.0,46
V-Crown,10.19,Kel-Tec KSG,579.07,11.78,7.93,Rubber,1.0,58
AMAX,8.22,Mossberg 500,694.56,8.77,8.42,Metal,31.0,36
Critical Duty,10.2,FN Five-seveN,424.04,9.05,11.55,Brick,30.0,30
Gold Dot,9.11,Colt 1911,486.97,10.36,8.6,Brick,14.0,31
SP,9.72,AK-47,331.21,2.0,10.25,Ceramic,54.0,13
AccuBond,13.01,Benelli M4,546.74,5.13,11.16,Brick,1.0,40
AMAX,9.02,Dragunov SVD,328.27,9.19,8.65,Ceramic,14.0,8
JHP,11.01,AR-15,382.02,4.06,8.91,Rubber,6.0,55
AMAX,8.09,Glock 17,696.69,12.61,13.44,Glass,29.0,86
Critical Duty,11.47,Smith & Wesson M&P,527.3,12.27,11.36,Water,4.0,75
Critical Duty,5.28,Barrett M82,784.91,5.83,9.98,Kevlar,42.0,12
FMJ,5.0,CZ 75,735.34,4.37,9.83,Brick,10.0,14
V-MAX,15.0,Mossberg 500,543.15,9.72,7.61,Concrete,3.0,31
AccuBond,14.51,HK USP,570.74,2.89,10.96,Sand,1.0,44
Gold Dot,5.0,M16,452.3,8.56,10.22,Sand,23.0,38
Ranger T-Series,8.89,M16,708.78,19.32,11.83,Metal,53.0,32
AMAX,9.45,FN Five-seveN,572.62,3.97,6.0,Wood,70.0,39
FMJ,11.17,Beretta 92FS,681.91,4.87,9.6,Glass,41.0,53
Ranger T-Series,14.22,AR-15,370.63,5.53,9.83,Brick,10.0,47
BTHP,5.82,M4 Carbine,300.0,4.41,10.68,Water,47.0,44
Critical Duty,5.98,Mossberg 500,600.45,4.61,10.47,Concrete,21.0,32
EFMJ,9.0,Ruger SR9,640.56,14.88,11.05,Kevlar,1.0,32
Critical Duty,6.11,M16,515.04,8.25,9.61,Kevlar,4.0,30
Partition,5.0,Mossberg 500,615.72,11.64,7.5,Metal,10.0,33
PolyCase ARX,8.32,Colt 1911,329.6,12.8,7.08,Wood,7.0,66
TMJ,11.57,Springfield XD,687.86,2.0,9.88,Water,8.0,44
AP,8.94,Ruger SR9,734.34,4.92,14.0,Brick,27.0,34
V-MAX,10.87,Beretta 92FS,704.14,4.37,11.17,Kevlar,1.0,22
ELD-M,10.44,Colt 1911,524.79,2.0,14.0,Metal,19.0,38
BT,5.92,Winchester Model 70,737.3,9.7,11.39,Rubber,8.0,46
EFMJ,9.2,HK USP,300.0,9.21,7.89,Metal,43.0,38
Critical Duty,5.0,AR-15,614.69,13.29,9.74,Ceramic,1.0,34
Partition,7.46,Mossberg 500,643.29,9.9,14.0,Sand,71.0,29
Gold Dot,9.15,Sig Sauer P320,600.25,2.0,11.55,Concrete,2.0,29
PowerBond,9.0,M16,311.93,5.19,11.49,Kevlar,11.0,32
TMJ,5.13,Kel-Tec KSG,545.87,5.48,8.62,Wood,39.0,27
TMJ,5.73,Glock 17,448.78,10.05,10.01,Wood,8.0,52
EFMJ,9.87,Remington 700,300.0,2.0,7.86,Sand,38.0,47
PolyCase ARX,11.48,Benelli M4,300.0,10.18,9.13,Kevlar,66.0,18
ELD-M,8.38,Glock 17,732.25,11.15,10.32,Glass,3.0,90
V-Crown,8.23,AK-47,420.42,7.0,8.77,Metal,13.0,35
AP,11.79,FN Five-seveN,711.23,4.8,11.91,Brick,5.0,37
JHP,6.68,SCAR-L,728.73,12.71,8.84,Rubber,29.0,62
Golden Saber,14.18,Dragunov SVD,609.25,2.47,10.64,Concrete,2.0,35
Critical Duty,5.0,Sig Sauer P320,377.11,12.58,11.98,Glass,30.0,72
Critical Defense,12.15,Mossberg 500,688.85,11.63,14.0,Metal,23.0,47
ELD-M,10.62,SCAR-L,542.71,10.24,10.73,Brick,20.0,47
JHP,15.0,Winchester Model 70,508.93,15.27,7.95,Brick,11.0,36
Critical Duty,5.64,Kel-Tec KSG,317.68,8.07,9.97,Concrete,14.0,18
Golden Saber,5.0,Desert Eagle,399.84,10.48,13.92,Sand,2.0,62
HST,12.75,HK USP,320.59,7.81,11.9,Brick,6.0,23
BTHP,5.0,Winchester Model 70,691.83,6.72,10.39,Rubber,49.0,34
HST,10.85,Beretta 92FS,806.87,10.11,11.15,Wood,12.0,71
AMAX,12.55,Kel-Tec KSG,684.74,6.79,10.56,Glass,10.0,101
JHP,10.14,Benelli M4,539.78,8.25,7.45,Kevlar,1.0,29
AccuBond,9.7,Colt 1911,438.63,8.27,10.41,Rubber,43.0,36
Critical Duty,10.2,Benelli M4,595.28,6.38,8.61,Kevlar,28.0,16
SP,11.51,SCAR-L,416.58,10.94,8.91,Sand,2.0,52
Ranger T-Series,10.76,CZ 75,493.73,2.0,9.43,Rubber,3.0,62
V-MAX,5.35,Walther PPQ,335.71,5.22,6.0,Wood,3.0,53
Gold Dot,14.47,Smith & Wesson M&P,630.13,4.11,9.66,Ceramic,21.0,20
ELD-M,9.15,FN Five-seveN,640.18,9.23,6.64,Metal,3.0,45
TMJ,10.56,Walther PPQ,681.77,7.05,11.67,Ceramic,100.0,18
BTHP,11.13,Remington 870,611.56,2.32,6.0,Glass,17.0,72
JHP,12.47,Winchester Model 70,597.59,9.88,6.53,Metal,41.0,15
Hydra-Shok,12.16,Winchester Model 70,300.0,8.91,6.24,Glass,26.0,61
BT,9.4,M16,300.0,8.15,10.62,Brick,1.0,25
Extreme Point,9.2,Remington 870,566.21,11.12,9.99,Concrete,11.0,17
AP,10.23,Sig Sauer P320,720.18,10.09,13.41,Wood,9.0,95
Black Talon,12.3,CZ 75,446.55,7.07,10.86,Concrete,61.0,19
AP,5.66,Remington 870,501.12,9.66,6.48,Ceramic,8.0,31
V-Crown,10.93,FN Five-seveN,503.2,13.48,8.32,Kevlar,23.0,16
AP,6.34,Walther PPQ,300.0,7.39,10.39,Kevlar,18.0,17
HST,14.55,Ruger SR9,548.08,12.99,10.66,Sand,27.0,42
Critical Defense,10.1,Winchester Model 70,390.03,15.58,6.42,Sand,1.0,48
Extreme Point,7.75,Desert Eagle,622.22,9.32,11.8,Sand,53.0,29
HST,10.29,M16,493.73,3.98,8.27,Rubber,99.0,28
TMJ,9.03,Kel-Tec KSG,464.15,6.81,8.31,Brick,16.0,20
Extreme Point,8.52,Winchester Model 70,468.5,8.65,12.15,Sand,4.0,47
FMJ,5.0,Remington 870,434.6,8.08,10.02,Water,41.0,32
Extreme Point,5.93,Dragunov SVD,300.0,8.52,10.68,Water,21.0,46
AccuBond,8.58,Smith & Wesson M&P,690.67,12.86,11.06,Kevlar,20.0,36
V-Crown,5.0,M16,373.22,4.6,6.89,Sand,43.0,32
V-Crown,7.24,Colt 1911,406.45,9.47,10.5,Water,26.0,48
Golden Saber,7.5,Smith & Wesson M&P,515.81,11.69,13.85,Rubber,50.0,29
Hydra-Shok,6.66,M16,300.0,7.0,9.58,Water,63.0,43
Critical Defense,11.32,HK416,400.18,3.9,10.75,Sand,8.0,50
AP,6.36,Mossberg 500,883.3,7.18,14.0,Rubber,4.0,64
SP,9.27,FN Five-seveN,567.35,3.83,13.09,Sand,10.0,58
Black Talon,7.94,Benelli M4,328.44,5.17,9.12,Water,69.0,39
Critical Defense,8.64,Remington 700,300.0,10.33,10.98,Metal,4.0,28
ELD-M,13.82,Desert Eagle,700.28,9.06,11.51,Glass,18.0,89
EFMJ,9.54,Ruger SR9,300.0,10.85,14.0,Ceramic,2.0,8
FMJ,10.12,Smith & Wesson M&P,391.43,9.94,8.17,Ceramic,36.0,17
V-MAX,6.7,Ruger SR9,416.75,7.18,14.0,Rubber,22.0,35
Hydra-Shok,10.88,Dragunov SVD,317.37,3.96,10.58,Metal,15.0,33
Hydra-Shok,10.75,Glock 17,484.75,9.29,9.37,Wood,20.0,55
Gold Dot,10.46,Benelli M4,389.72,5.86,11.24,Kevlar,2.0,25
EFMJ,5.37,Benelli M4,622.23,7.44,9.27,Metal,40.0,23
PowerBond,7.24,Dragunov SVD,528.11,5.14,9.33,Sand,8.0,33
JHP,13.3,Remington 870,786.43,11.62,8.86,Glass,4.0,99
Golden Saber,6.94,Colt 1911,790.47,2.0,8.91,Metal,1.0,46
JHP,13.71,Barrett M82,309.04,10.06,6.63,Rubber,1.0,43
AP,7.36,Smith & Wesson M&P,434.6,8.6,6.73,Ceramic,22.0,31
HST,9.44,Mossberg 500,930.86,11.55,8.39,Water,25.0,58
SP,8.44,CZ 75,300.0,3.11,10.54,Sand,3.0,36
Critical Duty,6.47,Mossberg 500,659.53,7.82,8.55,Glass,19.0,79
BTHP,6.51,Smith & Wesson M&P,609.6,6.29,14.0,Water,13.0,48
ELD-M,6.89,Winchester Model 70,330.21,7.37,11.28,Concrete,55.0,27
Hydra-Shok,9.44,FN Five-seveN,339.86,8.07,8.66,Metal,22.0,32
PowerBond,11.67,HK416,868.99,6.08,13.61,Concrete,15.0,16
EFMJ,9.25,Glock 17,864.99,7.57,9.57,Concrete,7.0,39
Black Talon,8.9,Dragunov SVD,585.98,12.96,9.55,Water,12.0,80
JHP,12.63,SCAR-L,300.0,13.79,11.28,Brick,6.0,35
Hydra-Shok,9.12,Springfield XD,751.37,8.95,9.85,Water,23.0,62
Golden Saber,7.37,Sig Sauer P320,300.0,13.87,10.2,Rubber,18.0,65
Black Talon,6.01,Winchester Model 70,643.04,2.22,11.34,Concrete,7.0,28
Extreme Point,12.81,AR-15,300.0,11.22,7.72,Metal,1.0,53
EFMJ,8.01,M4 Carbine,501.52,8.85,9.79,Wood,81.0,43
SP,7.26,SCAR-L,677.0,6.52,8.12,Metal,1.0,53
HST,7.0,Ruger SR9,300.0,10.45,10.7,Metal,16.0,41
Critical Defense,12.64,Mossberg 500,394.32,8.63,7.18,Glass,38.0,56
AccuBond,7.28,M16,530.66,5.6,13.15,Brick,19.0,28
PolyCase ARX,11.97,Ruger SR9,431.16,10.8,8.82,Kevlar,18.0,16
Hydra-Shok,8.31,Glock 17,365.79,7.82,9.33,Wood,25.0,65
Ranger T-Series,5.37,Remington 700,473.3,5.14,9.77,Kevlar,7.0,9
BT,8.0,Beretta 92FS,707.5,11.24,8.07,Rubber,10.0,43
Black Talon,8.9,AK-47,773.79,2.0,10.46,Wood,2.0,97
V-MAX,8.65,Benelli M4,641.0,14.57,12.22,Concrete,1.0,33
Gold Dot,8.58,M4 Carbine,810.67,11.63,9.34,Metal,6.0,52
Partition,8.03,FN Five-seveN,393.04,2.0,9.15,Water,34.0,31
BT,6.64,Sig Sauer P320,619.36,12.86,11.29,Metal,19.0,27
SP,9.03,Barrett M82,300.0,8.34,11.17,Wood,3.0,49
FMJ,10.62,Remington 700,1000.0,2.0,10.25,Metal,11.0,31
V-MAX,5.0,AR-15,520.03,2.0,12.43,Brick,1.0,30
Hydra-Shok,12.9,Walther PPQ,660.82,10.29,10.83,Concrete,32.0,33
JHP,5.0,Springfield XD,300.0,3.63,13.55,Kevlar,12.0,7
SP,9.23,Walther PPQ,656.27,4.5,9.39,Metal,6.0,31
HST,10.4,Walther PPQ,522.74,8.42,7.71,Concrete,29.0,17
Partition,7.19,Dragunov SVD,592.82,10.02,12.78,Rubber,70.0,27
AccuBond,5.0,Barrett M82,502.71,8.85,6.47,Kevlar,10.0,40
Critical Defense,8.71,SCAR-L,476.04,4.37,8.31,Water,29.0,50
V-Crown,9.51,Ruger SR9,438.37,5.0,8.03,Brick,8.0,35
Hydra-Shok,5.55,M4 Carbine,482.07,3.76,10.12,Sand,28.0,36
Critical Defense,6.51,FN Five-seveN,793.66,8.92,9.85,Wood,67.0,48
Ranger T-Series,11.89,HK USP,426.52,8.72,12.43,Wood,21.0,66
AMAX,9.35,Remington 700,951.76,9.59,10.13,Glass,5.0,105
Golden Saber,5.0,AK-47,512.28,8.74,8.85,Water,23.0,61
Partition,10.35,M16,779.99,8.45,9.44,Wood,37.0,84
HST,6.21,AK-47,728.79,11.57,8.12,Brick,10.0,54
PolyCase ARX,6.68,Glock 17,300.0,8.39,11.32,Metal,19.0,42
AMAX,9.59,Barrett M82,300.0,11.54,12.98,Wood,6.0,62
Hydra-Shok,9.31,Beretta 92FS,364.35,6.43,10.42,Wood,12.0,67
Golden Saber,7.79,AK-47,300.0,4.85,9.96,Sand,4.0,48
V-Crown,7.49,Beretta 92FS,417.39,12.8,10.93,Brick,36.0,37
